,Country name,GDP 2015,GDP 2016,GDP 2017,GDP 2018,GDP 2019,GDP 2020
120,Nepal,0.35996999999999996,0.44626000000000005,0.479820191860199,0.425,0.446,0.444050372
121,Ethiopia,0.19072999999999998,0.29283000000000003,0.339233845472336,0.308,0.336,0.315125644
122,Sierra Leone,0.33024000000000003,0.36485,0.36842092871666,0.256,0.268,0.24056038300000002
123,Mauritania,0.45407,0.6139100000000001,0.6484572887420649,0.557,0.57,0.539684892
124,Kenya,0.36471,0.52267,0.560479462146759,0.493,0.512,0.47641339899999996
125,Djibouti,0.44025,0.691765,0.730538100004196,0.6545,0.681,0.6423379035
126,Armenia,0.7682100000000001,0.8608600000000001,0.900596737861633,0.816,0.85,0.8082624079999999
127,Botswana,0.99355,1.09426,1.12209415435791,1.0170000000000001,1.041,0.997548997
128,Myanmar,0.27108000000000004,0.34112,0.36711055040359497,0.682,0.71,0.67809093
129,Georgia,0.7419,0.8379200000000001,0.950612664222717,0.853,0.8859999999999999,0.847198069
130,Malawi,0.016040000000000002,0.08709,0.233442038297653,0.18600000000000003,0.191,0.176534727
131,Sri Lanka,0.83524,0.9731799999999999,1.00985014438629,0.9179999999999999,0.9490000000000001,0.897986948
132,Cameroon,0.4225,0.5249699999999999,0.564305365085602,0.535,0.5489999999999999,0.503958046
133,Bulgaria,1.01216,1.11306,1.1614590883255,1.054,1.092,1.046554685
134,Egypt,0.8818,0.95395,0.989701807498932,0.885,0.9129999999999999,0.8752289409999999
135,Yemen,0.5464899999999999,0.57939,0.5916834473609921,0.442,0.287,0.392701775
136,Angola,0.75778,0.84731,0.8584281802177429,0.73,0.33599999999999997,0.37258221199999997
137,Mali,0.26074,0.31292,0.476180493831635,0.37,0.385,0.35246264899999996
138,Congo (Brazzaville),0.67866,0.7710899999999999,0.8089642524719242,0.682,0.6729999999999999,0.633616745
139,Comoros,0.23906,0.27509,0.5951974838972096,0.502,0.5025,0.47297708650000003
140,Uganda,0.21101999999999999,0.34719,0.381430715322495,0.322,0.332,0.31233742800000003
141,Senegal,0.36498,0.44314,0.479309022426605,0.429,0.45,0.5040618179999999
142,Gabon,1.06024,1.15851,1.1982102394104,1.036,1.057,0.9880443809999999
143,Niger,0.0694,0.1327,0.16192533075809498,0.131,0.138,0.10833033199999999
