,Country name,Generosity 2015,Generosity 2016,Generosity 2017,Generosity 2018,Generosity 2019,Generosity 2020
118,Haiti,0.46187,0.47958,0.48920378088951094,0.392,0.419,0.463909656
119,Congo (Kinshasa),0.24834,0.25458000000000003,0.246455833315849,0.19699999999999998,0.212,0.254324883
120,Nepal,0.32295999999999997,0.3816,0.39409616589546204,0.302,0.285,0.300971806
121,Ethiopia,0.24325,0.29522,0.31265074014663696,0.22,0.209,0.227698103
122,Sierra Leone,0.21488000000000002,0.23897,0.293040901422501,0.23800000000000002,0.252,0.257647008
123,Mauritania,0.21899999999999997,0.22685999999999998,0.201870024204254,0.134,0.106,0.128899664
124,Kenya,0.37542,0.41328000000000004,0.444860309362411,0.35200000000000004,0.37200000000000005,0.39390209299999995
125,Djibouti,0.18093,0.24560500000000002,0.264174200594425,0.21450000000000002,0.23350000000000004,0.2505639155
126,Armenia,0.07855,0.07793,0.0834880918264389,0.077,0.095,0.107225738
127,Botswana,0.10461,0.12425,0.0993484482169151,0.042,0.025,0.033407487
128,Myanmar,0.79588,0.81971,0.8380751609802249,0.598,0.5660000000000001,0.569813728
129,Georgia,0.055470000000000005,0.06786,0.0540088154375553,0.038,0.043,0.047609735
130,Malawi,0.33128,0.30968,0.28717046976089505,0.21,0.218,0.21318505699999998
131,Sri Lanka,0.40828000000000003,0.46978000000000003,0.49086356163024897,0.307,0.244,0.25266614600000004
132,Cameroon,0.20618000000000003,0.2268,0.23629845678806302,0.183,0.187,0.198020101
133,Bulgaria,0.11921,0.12793,0.113177694380283,0.064,0.081,0.10383371300000001
134,Egypt,0.11291,0.12705999999999998,0.128631442785263,0.092,0.076,0.068801254
135,Yemen,0.09131,0.09821,0.104125209152699,0.083,0.10800000000000001,0.09468901199999999
136,Angola,0.12344000000000001,0.12070999999999998,0.09792649000883098,0.079,0.1305,0.132178031
137,Mali,0.18798,0.21064000000000002,0.183354198932648,0.139,0.153,0.16966705
138,Congo (Brazzaville),0.12387999999999999,0.12077,0.12085212767124198,0.091,0.105,0.11721601300000001
139,Comoros,0.17440999999999998,0.1827,0.2233090922236445,0.175,0.1785,0.191011693
140,Uganda,0.29066,0.27102,0.32576605677604703,0.259,0.252,0.264807373
141,Senegal,0.20843000000000003,0.19103,0.183468893170357,0.138,0.153,0.164397135
142,Gabon,0.06822,0.062439999999999996,0.0437853783369064,0.032,0.043,0.052013602
143,Niger,0.19387000000000001,0.2097,0.22867384552955602,0.175,0.188,0.20817689600000003
144,Cambodia,0.40359,0.40339,0.385922968387604,0.256,0.23199999999999998,0.233342081
145,Tanzania,0.34376999999999996,0.31472,0.354256361722946,0.27,0.276,0.27154091
146,Madagascar,0.21333000000000002,0.2204,0.208732530474663,0.155,0.16899999999999998,0.191190064
147,Central African Republic,0.23835,0.20353500000000002,0.21242319047451053,0.168,0.1835,0.200997576
148,Chad,0.18386,0.18667,0.21611385047435802,0.18100000000000002,0.198,0.210805088
149,Guinea,0.28657,0.29914,0.264815092086792,0.185,0.207,0.249490842
150,Ivory Coast,0.20165,0.20338,0.201237469911575,0.146,0.154,0.16991558699999998
151,Burkina Faso,0.21746999999999997,0.24353000000000002,0.250864684581757,0.175,0.177,0.18639060899999998
152,Afghanistan,0.3651,0.31268,0.311870932579041,0.191,0.158,0.135234714
153,Rwanda,0.22628,0.23551999999999998,0.25275602936744695,0.2,0.217,0.235704988
154,Benin,0.1826,0.2018,0.207948461174965,0.163,0.175,0.196670428
155,Syria,0.47179,0.48396999999999996,0.49366372823715204,0.376,0.331,0.192036107
156,Burundi,0.19727,0.2029,0.20443518459796897,0.149,0.17600000000000002,0.18740178600000001
157,Togo,0.16680999999999999,0.17517,0.19689615070819896,0.158,0.177,0.200774252
