,Country name,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Healthy life expectancy,Explained by: Log GDP per capita,Explained by: Perceptions of corruption,Explained by: Social support,Score,year,code
138,Lesotho,0.390661299228668,0.157497271895409,0.12331620976328841,0.521021246910095,0.119094640016556,1.19009518623352,3.80800008773804,2017,LSO
139,Angola,0.2484204098582265,0.09792649000883098,0.0498686656355858,0.8584281802177429,0.0697203353047371,1.1044119596481299,3.79500007629395,2017,AGO
140,Afghanistan,0.106179520487785,0.311870932579041,0.18074677884578697,0.401477217674255,0.0611578300595284,0.581543326377869,3.7939999103546103,2017,AFG
141,Botswana,0.505196332931519,0.0993484482169151,0.34175550937652605,1.12209415435791,0.0985831990838051,1.2215549945831299,3.7660000324249303,2017,BWA
142,Benin,0.42596277594566295,0.207948461174965,0.20993021130561804,0.43108540773391707,0.0609290152788162,0.43529984354972795,3.65700006484985,2017,BEN
143,Madagascar,0.18919676542282102,0.208732530474663,0.375223308801651,0.305808693170547,0.0672319754958153,0.9130203723907471,3.64400005340576,2017,MDG
144,Haiti,0.0303698573261499,0.48920378088951094,0.277321130037308,0.368610262870789,0.0998721495270729,0.640449821949005,3.6029999256133998,2017,HTI
145,Yemen,0.24946372210979503,0.104125209152699,0.310080915689468,0.5916834473609921,0.0567674227058887,0.93538224697113,3.59299993515015,2017,YEM
146,South Sudan,0.147062435746193,0.285670816898346,0.163486003875732,0.39724862575531,0.116793513298035,0.601323127746582,3.5910000801086404,2017,SSD
147,Liberia,0.33288118243217496,0.26654988527298,0.229918196797371,0.11904179304838199,0.0389482490718365,0.8721179366111759,3.5329999923706095,2017,LBR
148,Guinea,0.348587512969971,0.264815092086792,0.194129139184952,0.24454993009567302,0.110937617719173,0.7912446856498722,3.50699996948242,2017,GIN
149,Togo,0.38042613863945,0.19689615070819896,0.247105568647385,0.30544471740722695,0.0956650152802467,0.4318825304508211,3.4949998855590803,2017,TGO
150,Rwanda,0.5818438529968261,0.25275602936744695,0.326424807310104,0.368745893239975,0.455220013856888,0.945707023143768,3.47099995613098,2017,RWA
151,Syria,0.0815394446253777,0.49366372823715204,0.5005333423614501,0.777153134346008,0.15134713053703303,0.396102607250214,3.46199989318848,2017,SYR
152,Tanzania,0.390017777681351,0.354256361722946,0.364509284496307,0.511135876178741,0.0660351067781448,1.04198980331421,3.34899997711182,2017,TZA
153,Burundi,0.0599007532000542,0.20443518459796897,0.151610791683197,0.09162256866693501,0.0841479450464249,0.629793584346771,2.90499997138977,2017,BDI
154,Central African Republic,0.270842045545578,0.280876487493515,0.0187726859003305,0.7667012843334674,0.0565650761127472,0.8967667921733855,2.69300007820129,2017,CAF
0,Denmark,0.5794100000000001,0.36171,0.79504,1.4417799999999998,0.44453000000000004,1.16374,7.526,2016,DNK
1,Switzerland,0.58557,0.28083,0.86303,1.5273299999999999,0.41203,1.14524,7.5089999999999995,2016,CHE
